date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:43:50	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Aug%202025%2012:43:49%20GMT	http://members.societe-jersiaise.org/geraint/*	members.societe-jersiaise.org/geraint/_.0.delayed	(from )
13:43:50	1568/1568	U-----	200	untouched ('OK')	text/html	date:Sun,%2024%20Dec%202023%2017:05:26%20GMT	http://members.societe-jersiaise.org/geraint/jerriais.html	members.societe-jersiaise.org/geraint/jerriais.html	(from )
13:43:50	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Aug%202025%2012:43:50%20GMT	http://members.societe-jersiaise.org/robots.txt		(from )
13:43:51	318/318	U-----	200	untouched ('')	image/x-icon	date:Fri,%2025%20May%202012%2017:50:49%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/favicon.ico	members.societe-jersiaise.org/geraint/jerriais/favicon.ico	(from http://members.societe-jersiaise.org/geraint/jerriais.html)
13:43:51	24940/24940	U-----	200	untouched ('')	image/jpeg	date:Mon,%2010%20Jan%202022%2019:55:13%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/banniethe.jpg	members.societe-jersiaise.org/geraint/jerriais/banniethe.jpg	(from http://members.societe-jersiaise.org/geraint/jerriais.html)
13:43:51	81013/81013	U--M--	200	updated ('OK')	text/html	date:Wed,%2006%20Aug%202025%2007:38:33%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/jerriais.html	members.societe-jersiaise.org/geraint/jerriais/jerriais.html	(from http://members.societe-jersiaise.org/geraint/jerriais.html)
13:43:55	577167/577167	U--M--	200	updated ('OK')	text/html	date:Fri,%2001%20Aug%202025%2009:49:34%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html	members.societe-jersiaise.org/geraint/jerriais/jerrinav.html	(from http://members.societe-jersiaise.org/geraint/jerriais.html)
13:43:55	7797/7797	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2007:38:32%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfecole2.html	members.societe-jersiaise.org/geraint/jerriais/gdfecole2.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:43:56	791/791	U-----	200	untouched ('OK')	text/css	date:Sat,%2012%20May%202012%2015:58:08%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/menu.css	members.societe-jersiaise.org/geraint/jerriais/menu.css	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:43:56	3889/3889	U-----	200	untouched ('')	application/javascript	date:Sun,%2008%20Apr%202012%2018:48:41%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/onlyone.js	members.societe-jersiaise.org/geraint/jerriais/onlyone.js	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:43:56	2462/2462	U-----	200	untouched ('OK')	text/html	date:Mon,%2008%20Apr%202024%2006:39:07%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/	members.societe-jersiaise.org/geraint/jerriais/index.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:43:56	3759/3759	U-----	200	untouched ('')	image/gif	date:Fri,%2025%20May%202012%2017:50:49%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/pjbanniethe.gif	members.societe-jersiaise.org/geraint/jerriais/pjbanniethe.gif	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:43:57	7750/7750	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2007:38:35%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfidee.html	members.societe-jersiaise.org/geraint/jerriais/gdfidee.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:43:58	3354/3354	U-----	200	untouched ('OK')	text/html	date:Sat,%2012%20May%202012%2015:33:43%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/entouor_pj.html	members.societe-jersiaise.org/geraint/jerriais/entouor_pj.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:43:58	41243/41243	U--M--	200	updated ('OK')	text/html	date:Wed,%2006%20Aug%202025%2007:38:33%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/whatsnew.html	members.societe-jersiaise.org/geraint/jerriais/whatsnew.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:43:58	20676/20676	U-----	200	untouched ('OK')	text/html	date:Sat,%2030%20Jan%202016%2017:35:42%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/prononciation.html	members.societe-jersiaise.org/geraint/jerriais/prononciation.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:00	165664/165664	U-----	200	untouched ('OK')	text/html	date:Sat,%2020%20Feb%202016%2014:13:29%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/catalog.html	members.societe-jersiaise.org/geraint/jerriais/catalog.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:00	8700/8700	U-----	200	untouched ('OK')	text/html	date:Wed,%2015%20May%202024%2017:18:35%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/jerriais2.html	members.societe-jersiaise.org/geraint/jerriais/jerriais2.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:00	7719/7719	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Jul%202025%2015:46:49%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfbran.html	members.societe-jersiaise.org/geraint/jerriais/gdfbran.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:00	637623/637623	U--M--	200	updated ('OK')	text/html	date:Sun,%2027%20Jul%202025%2016:56:09%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/whatsnew2.html	members.societe-jersiaise.org/geraint/jerriais/whatsnew2.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:02	7351/7351	U-----	200	untouched ('OK')	text/html	date:Thu,%2002%20May%202013%2010:20:03%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/auteurs.html	members.societe-jersiaise.org/geraint/jerriais/auteurs.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:02	4208/4208	U-----	200	untouched ('OK')	text/html	date:Tue,%2018%20Mar%202014%2019:07:13%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/pathjour.html	members.societe-jersiaise.org/geraint/jerriais/pathjour.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:02	5561/5561	---M--	200	added ('OK')	text/html	date:Fri,%2025%20Jul%202025%2016:24:13%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfmodgie.html	members.societe-jersiaise.org/geraint/jerriais/gdfmodgie.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:02	53489/53489	U--M--	200	updated ('OK')	text/html	date:Wed,%2006%20Aug%202025%2007:38:33%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/random.html	members.societe-jersiaise.org/geraint/jerriais/random.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:02	17779/17779	U-----	200	untouched ('OK')	text/html	date:Thu,%2023%20Mar%202023%2008:04:04%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/haspath.html	members.societe-jersiaise.org/geraint/jerriais/haspath.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:04	189222/189222	U-----	200	untouched ('OK')	text/html	date:Sat,%2027%20Jul%202024%2011:24:21%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/hasportrait.html	members.societe-jersiaise.org/geraint/jerriais/hasportrait.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:04	9160/9160	U-----	200	untouched ('OK')	text/html	date:Sun,%2020%20Apr%202025%2011:43:10%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/radio.html	members.societe-jersiaise.org/geraint/jerriais/radio.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:04	8231/8231	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Aug%202025%2007:38:33%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfparadis.html	members.societe-jersiaise.org/geraint/jerriais/gdfparadis.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:06	8592/8592	U-----	200	untouched ('OK')	text/html	date:Sun,%2003%20Dec%202023%2012:01:53%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/jep.html	members.societe-jersiaise.org/geraint/jerriais/jep.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:06	3884/3884	U-----	200	untouched ('OK')	text/html	date:Tue,%2023%20Dec%202014%2019:01:09%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gallie.html	members.societe-jersiaise.org/geraint/jerriais/gallie.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:06	530069/530069	U--M--	200	updated ('OK')	text/html	date:Wed,%2006%20Aug%202025%2007:38:32%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/hastexte.html	members.societe-jersiaise.org/geraint/jerriais/hastexte.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:07	7222/7222	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Aug%202025%2015:56:42%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfveue.html	members.societe-jersiaise.org/geraint/jerriais/gdfveue.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:07	8681/8681	U-----	200	untouched ('OK')	text/html	date:Tue,%2023%20Dec%202014%2019:00:51%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfdrogues.html	members.societe-jersiaise.org/geraint/jerriais/gdfdrogues.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:07	9334/9334	U-----	200	untouched ('OK')	text/html	date:Thu,%2005%20Jun%202025%2016:55:29%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfpeine.html	members.societe-jersiaise.org/geraint/jerriais/gdfpeine.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:07	8931/8931	U-----	200	untouched ('OK')	text/html	date:Sat,%2012%20Jul%202025%2015:32:27%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfatre4.html	members.societe-jersiaise.org/geraint/jerriais/gdfatre4.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
13:44:07	8140/8140	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Aug%202025%2015:56:43%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/gdfbarbus.html	members.societe-jersiaise.org/geraint/jerriais/gdfbarbus.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
