date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:05	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Jul%202025%2010:56:04%20GMT	http://members.societe-jersiaise.org/geraint/*	members.societe-jersiaise.org/geraint/_.0.delayed	(from )
11:56:05	1568/1568	U-----	200	untouched ('OK')	text/html	date:Sun,%2024%20Dec%202023%2017:05:26%20GMT	http://members.societe-jersiaise.org/geraint/jerriais.html	members.societe-jersiaise.org/geraint/jerriais.html	(from )
11:56:05	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Jul%202025%2010:56:05%20GMT	http://members.societe-jersiaise.org/robots.txt		(from )
11:56:06	318/318	U-----	200	untouched ('')	image/x-icon	date:Fri,%2025%20May%202012%2017:50:49%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/favicon.ico	members.societe-jersiaise.org/geraint/jerriais/favicon.ico	(from http://members.societe-jersiaise.org/geraint/jerriais.html)
11:56:06	574194/574194	U-----	200	untouched ('OK')	text/html	date:Sun,%2020%20Jul%202025%2017:12:02%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html	members.societe-jersiaise.org/geraint/jerriais/jerrinav.html	(from http://members.societe-jersiaise.org/geraint/jerriais.html)
11:56:06	80124/80124	U-----	200	untouched ('OK')	text/html	date:Sat,%2012%20Jul%202025%2015:32:14%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/jerriais.html	members.societe-jersiaise.org/geraint/jerriais/jerriais.html	(from http://members.societe-jersiaise.org/geraint/jerriais.html)
11:56:06	24940/24940	U-----	200	untouched ('')	image/jpeg	date:Mon,%2010%20Jan%202022%2019:55:13%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/banniethe.jpg	members.societe-jersiaise.org/geraint/jerriais/banniethe.jpg	(from http://members.societe-jersiaise.org/geraint/jerriais.html)
11:56:07	791/791	U-----	200	untouched ('OK')	text/css	date:Sat,%2012%20May%202012%2015:58:08%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/menu.css	members.societe-jersiaise.org/geraint/jerriais/menu.css	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
11:56:07	3889/3889	U-----	200	untouched ('')	application/javascript	date:Sun,%2008%20Apr%202012%2018:48:41%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/onlyone.js	members.societe-jersiaise.org/geraint/jerriais/onlyone.js	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
11:56:07	3759/3759	U-----	200	untouched ('')	image/gif	date:Fri,%2025%20May%202012%2017:50:49%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/pjbanniethe.gif	members.societe-jersiaise.org/geraint/jerriais/pjbanniethe.gif	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
11:56:07	2462/2462	U-----	200	untouched ('OK')	text/html	date:Mon,%2008%20Apr%202024%2006:39:07%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/	members.societe-jersiaise.org/geraint/jerriais/index.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
